TW,D2024LelandFarmersCo,D2024StewardGrainCo,D2024PremierCooperativeInc,D2024TheAndersons,D2024UrsaFarmersCoop,D2024HeritageCoop,D2024ADM
52.8,-1.1,-0.5,-99,-99,-1.1,-0.5,-99
52.7,-1.1,-0.5,-99,-99,-1.1,-0.5,-99
52.6,-1.1,-0.5,-99,-99,-1.1,-0.5,-99
52.5,-1.1,-0.5,-99,-99,-1.1,-0.5,-99
52.4,-1.2,-0.55,-99,-99,-1.2,-0.58,-99
52.3,-1.2,-0.55,-99,-99,-1.2,-0.58,-99
52.2,-1.2,-0.55,-99,-99,-1.2,-0.58,-99
52.1,-1.2,-0.55,-99,-99,-1.2,-0.58,-99
52,-1.2,-0.55,-99,-99,-1.2,-0.58,-99
51.9,-1.3,-0.6,-99,-99,-1.3,-0.66,-99
51.8,-1.3,-0.6,-99,-99,-1.3,-0.66,-99
51.7,-1.3,-0.6,-99,-99,-1.3,-0.66,-99
51.6,-1.3,-0.6,-99,-99,-1.3,-0.66,-99
51.5,-1.3,-0.6,-99,-99,-1.3,-0.66,-99
51.4,-1.4,-0.65,-99,-99,-1.4,-0.74,-99
51.3,-1.4,-0.65,-99,-99,-1.4,-0.74,-99
51.2,-1.4,-0.65,-99,-99,-1.4,-0.74,-99
51.1,-1.4,-0.65,-99,-99,-1.4,-0.74,-99
51,-1.4,-0.65,-99,-99,-1.4,-0.74,-99
50.9,-1.5,-0.7,-99,-99,-1.5,-0.82,-99
50.8,-1.5,-0.7,-99,-99,-1.5,-0.82,-99
50.7,-1.5,-0.7,-99,-99,-1.5,-0.82,-99
50.6,-1.5,-0.7,-99,-99,-1.5,-0.82,-99
50.5,-1.5,-0.7,-99,-99,-1.5,-0.82,-99
50.4,-1.6,-0.75,-99,-99,-1.6,-0.9,-99
50.3,-1.6,-0.75,-99,-99,-1.6,-0.9,-99
50.2,-1.6,-0.75,-99,-99,-1.6,-0.9,-99
50.1,-1.6,-0.75,-99,-99,-1.6,-0.9,-99
50,-1.6,-0.75,-99,-99,-1.6,-0.9,-99
49.9,-1.8,-0.8,-99,-99,-2,-0.98,-99
49.8,-1.8,-0.8,-99,-99,-2,-0.98,-99
49.7,-1.8,-0.8,-99,-99,-2,-0.98,-99
49.6,-1.8,-0.8,-99,-99,-2,-0.98,-99
49.5,-1.8,-0.8,-99,-99,-2,-0.98,-99
49.4,-2,-0.85,-99,-99,-2,-1.06,-99
49.3,-2,-0.85,-99,-99,-2,-1.06,-99
49.2,-2,-0.85,-99,-99,-2,-1.06,-99
49.1,-2,-0.85,-99,-99,-2,-1.06,-99
49,-2,-0.85,-99,-99,-2,-1.06,-99
48.9,-2.2,-0.9,-99,-99,-2,-1.14,-99
48.8,-2.2,-0.9,-99,-99,-2,-1.14,-99
48.7,-2.2,-0.9,-99,-99,-2,-1.14,-99
48.6,-2.2,-0.9,-99,-99,-2,-1.14,-99
48.5,-2.2,-0.9,-99,-99,-2,-1.14,-99
48.4,-2.4,-0.95,-99,-99,-2,-1.22,-99
48.3,-2.4,-0.95,-99,-99,-2,-1.22,-99
48.2,-2.4,-0.95,-99,-99,-2,-1.22,-99
48.1,-2.4,-0.95,-99,-99,-2,-1.22,-99
48,-2.4,-0.95,-99,-99,-2,-1.22,-99
47.9,-2.6,-1,-99,-99,-2,-1.3,-99
47.8,-2.6,-1,-99,-99,-2,-1.3,-99
47.7,-2.6,-1,-99,-99,-2,-1.3,-99
47.6,-2.6,-1,-99,-99,-2,-1.3,-99
47.5,-2.6,-1,-99,-99,-2,-1.3,-99
47.4,-2.8,-1.05,-99,-99,-2,-1.38,-99
47.3,-2.8,-1.05,-99,-99,-2,-1.38,-99
47.2,-2.8,-1.05,-99,-99,-2,-1.38,-99
47.1,-2.8,-1.05,-99,-99,-2,-1.38,-99
47,-2.8,-1.05,-99,-99,-2,-1.38,-99
46.9,-3,-1.1,-99,-99,-2,-1.46,-99
46.8,-3,-1.1,-99,-99,-2,-1.46,-99
46.7,-3,-1.1,-99,-99,-2,-1.46,-99
46.6,-3,-1.1,-99,-99,-2,-1.46,-99
46.5,-3,-1.1,-99,-99,-2,-1.46,-99
46.4,-3.2,-1.15,-99,-99,-2,-1.54,-99
46.3,-3.2,-1.15,-99,-99,-2,-1.54,-99
46.2,-3.2,-1.15,-99,-99,-2,-1.54,-99
46.1,-3.2,-1.15,-99,-99,-2,-1.54,-99
46,-3.2,-1.15,-99,-99,-2,-1.54,-99
